1 120859  544832.94487 9402.99034119
2 119515  552152.15683 9917.97447205
3 122435  480931.997299 10063.8866425
4 124505  534198.045731 9911.06033325
5 122304  545364.141464 10227.2033691
6 120032  525056.838989 10457.9925537
7 119339  551478.862762 10385.9901428
8 120055  539884.090424 10586.977005
9 128916  534253.120422 10474.9202728
10 124642  553539.991379 10730.0281525
11 125740  546767.950058 10776.9966125
12 123820  550564.050674 10875.9403229
13 119208  551797.866821 10191.2021637
14 125810  535735.845566 11147.0222473
15 120250  549212.932587 12495.9945679
16 124540  491127.01416 7676.12457275
17 126899  557893.037796 10977.0298004
18 126011  548650.979996 10410.785675
19 128610  556083.917618 12014.1506195
20 111196  549809.932709 11419.0578461
21 123656  551784.038544 11058.0921173
22 120083  551038.980484 11579.990387
23 133671  551822.900772 11813.8790131
24 124575  535961.866379 11553.0490875
25 126145  557811.975479 11164.9036407
26 128903  550619.840622 9732.00798035
27 126437  539166.927338 11693.0007935
28 128787  547557.830811 11982.2025299
29 64556  277777.910233 5294.08454895
30 119604  544130.086899 11100.0537872
31 124212  534003.973007 11909.9617004
32 133050  554349.184036 11590.0039673
33 132113  548354.86412 12368.2022095
34 121585  542069.911957 12166.9769287
35 124625  552958.011627 12264.0132904
36 126100  485764.980316 12478.1131744
37 125638  540637.016296 10918.8556671
38 126749  555794.9543 12490.0341034
39 125072  545745.134354 12471.9142914
40 119749  544193.983078 12522.9358673
41 125309  545995.950699 12691.9746399
42 132991  554601.90773 12834.072113
43 126588  554051.160812 12956.1424255
44 126424  551184.177399 12977.1232605
45 126415  555088.996887 12898.9219666
46 127547  557291.984558 13140.9168243
47 133164  533365.96489 12206.0775757
48 125747  543597.93663 12826.9195557
49 124759  479645.967484 13078.9279938
50 125192  556669.950485 13391.9715881
51 126237  553270.101547 13305.9024811
52 122635  542407.989502 13205.0514221
53 136458  573159.93309 13705.0151825
54 135081  529757.976532 13259.8876953
55 127750  545313.835144 12998.1040955
56 126380  545296.907425 13836.8606567
57 127735  539109.230042 13540.0295258
58 123756  572886.943817 13921.9760895
59 134597  533766.98494 14042.8543091
60 126855  551527.97699 14003.0384064
61 122799  550528.049469 14463.9015198
62 125111  482234.00116 14022.1118927
63 122825  477535.963058 12645.0061798
64 121311  549195.051193 14228.105545
65 124049  560881.137848 13931.0359955
66 127427  554950.95253 13916.015625
67 128758  577588.08136 13574.1233826
68 129915  549587.965012 13436.794281
69 124619  547157.049179 14415.9793854
70 122792  535385.847092 14657.0205688
71 123017  558840.036392 14531.8508148
72 133015  557669.16275 13939.1422272
73 129013  546440.839767 14015.1977539
74 125108  548970.937729 14090.0611877
75 122511  478173.971176 13790.845871
76 126783  571794.033051 14670.1335907
77 127052  566431.999207 14616.9662476
78 126759  552540.063858 14955.0437927
79 125929  551653.862 14663.9347076
80 129720  545232.057571 14831.0661316
81 127130  535106.182098 15046.1196899
82 126095  539318.084717 13467.0734406
83 125745  544701.099396 14576.9119263
84 128819  566440.820694 15366.0774231
85 124778  540123.939514 19321.9184875
86 129326  557898.99826 15700.8171082
87 132433  572222.948074 15393.9723969
88 128062  441610.097885 14795.0649261
89 137079  492557.048798 14744.0433502
90 125144  520874.977112 14776.9451141
91 122507  545136.213303 15153.8848877
92 127313  542588.949203 14919.0425873
93 124671  565487.146378 15650.9876251
94 130780  527495.145798 15861.0343933
95 65785  554800.987244 14652.0137787
96 130130  542541.980743 16007.900238
97 125894  481474.161148 16604.1851044
98 127808  547323.942184 16036.9873047
99 124498  559741.020203 13500.213623
100 128866  544790.029526 15619.9932098
